id,team_name,player_position,home_runs
1,University of Ioannina,bifurcated,766
2,Swiss Management Center,heuristic,948
3,Kyushu Sangyo University,time-frame,695
4,Kemerovo State University,time-frame,777
5,Hunan Agricultural University,instruction set,237
6,"University of Washington, Tacoma",Decentralized,562
7,Our Lady of Fatima University,attitude,524
8,Syrian Virtual University,Seamless,300
9,2nd Military Medical University,groupware,851
10,Tokyo Keizai University,framework,374
11,Fachhochschule Frankfurt am Main,even-keeled,609
12,University of Tennessee - Knoxville,open architecture,503
13,King Mongkut's University of Technology Ladkrabang,optimizing,502
14,Yeungnam University,asynchronous,728
15,Kyoto University of Foreign Studies,Centralized,232
16,University of Insurance and Banking in Warsaw,Front-line,69
17,Saratov State Academy of Law,toolset,282
18,"Evangelische Fachhochschule Berlin, Fachhochschule für Sozialarbeit und Sozialpädagogik",systemic,525
19,Hiroshima Bunkyo Women's University,tertiary,46
20,Instituto Superior de Relações Internacionais (ISRI) ,heuristic,866
21,Central Institute of English and Foreign Languages,Organized,147
22,Université de Cocody,mission-critical,114
23,Universidad Autónoma de la Ciudad de México,Persistent,483
24,Walter Sisulu University for Technology and Science,parallelism,739
25,Virginia Military Institute,Fundamental,385
26,"Islamic Azad University, Shabestar",Down-sized,591
27,Quaid-i-Azam University,Enhanced,772
28,American Academy of Nutrition,static,17
29,Universitas Pelita Harapan,customer loyalty,573
30,St. Lawrence University,Multi-tiered,402
31,"University of Wales Institute, Cardiff",systemic,864
32,Institut Sains dan Teknologi Al Kamal,task-force,425
33,King's College,bi-directional,166
34,University of Iceland,encompassing,102
35,Indian Statistical Institute,conglomeration,54
36,University of Central Florida,client-driven,964
37,Bahria University,system engine,140
38,Georgia Southern University,Configurable,302
39,Assumption University,Re-engineered,339
40,Ecole des Hautes Etudes Commerciales MAROC,Triple-buffered,374
41,Luhansk State Medical University,artificial intelligence,767
42,Nakhchivan State University,framework,49
43,Near East School of Theology,Progressive,300
44,College for Lifelong Learning,local,557
45,University of Kordofan,forecast,682
46,Universitas Tanjungpura,secondary,643
47,IT University of Copenhagen,object-oriented,199
48,Fukuoka Dental College,client-driven,333
49,Iowa State University of Science and Technology,Intuitive,494
50,Chonbuk National University,Open-architected,574
51,Damascus University,Profit-focused,618
52,Southeastern University,moderator,679
53,Ecole Nationale Supérieure d'Arts et Métiers de Paris,mobile,756
54,"Arizona State University, Downtown Phoenix Campus",Streamlined,252
55,State University of New York College of Technology at Farmingdale,focus group,235
56,University of Health Sciences,Monitored,152
57,Mar Athanasios College for Advanced Studies,Stand-alone,376
58,Samford University,coherent,686
59,Universität Trier,core,968
60,University of Nueva Caceres,solution,835
61,Shiga University of Medical Science,policy,207
62,University of Hyderabad,Cross-platform,777
63,School of Banking and Management in Cracow,synergy,495
64,Universidad Intercontinental,attitude,516
65,National Pingtung Teachers College,intangible,706
66,Université de Monastir,Versatile,766
67,Pharos International University,Diverse,538
68,Academy of Fine Arts and Design in Bratislava,tertiary,938
69,Grinnell College,Re-engineered,280
70,Fashion Institute of New York,Profound,768
71,The College of New Jersey,Re-contextualized,491
72,Universidade Independente,budgetary management,215
73,University of Winnipeg,open system,51
74,"Pedagogical State University ""Ion Creanga""",background,610
75,Daniel Webster College,parallelism,920
76,Koshien University,Seamless,320
77,Dar Al-Uloom Colleges,Universal,773
78,International Budo University,directional,54
79,Power and Water Institute of Technology,analyzer,168
80,Maranatha Baptist Bible College,grid-enabled,460
81,Nevsky Institute of Language and Culture,uniform,848
82,Uludag University,frame,402
83,Elms College,monitoring,475
84,University of Pittsburgh at Johnstown,Horizontal,110
85,Tokyo Denki University,discrete,490
86,Mount Meru University,knowledge user,204
87,Dominican College,product,133
88,Thomas Jefferson University,Synchronised,608
89,Southern Cross University,encoding,140
90,Baker College of Muskegon,incremental,613
91,Al Akhawayn University,Centralized,965
92,Southwestern Christian University,motivating,569
93,American World University,De-engineered,475
94,University of Nebraska - Kearney,Future-proofed,316
95,Abdus Salam international centre for theoretical physics,application,509
96,South West University Yucai College,Virtual,994
97,Sri Venkateswara University,24 hour,4
98,Escuela de Arquitectura y Diseño,logistical,975
99,Harokopio University,Assimilated,644
100,Northwest A&F University,superstructure,944
