first_name,last_name,player_number,team_name,player_position,home_runs
Lynnet,Reck,79,University of Guam,empowering,179
Valenka,Luscott,56,Moi University,Synergized,385
Pen,MacNulty,81,Sinai University,next generation,333
Brooke,Bentote,73,Shuchiin College,toolset,623
Sydney,Rentenbeck,90,"Instituto Nacional de Educación Física ""General Manuel Belgrano""",Re-contextualized,468
Dimitry,Chiechio,17,Waseda University,Mandatory,104
Elliot,Milton-White,83,Rhode Island School of Design,projection,866
Livvyy,Castelluzzi,11,University of Cagliari,Pre-emptive,957
Jordain,Bibby,50,Denison University,zero tolerance,891
Ally,Farnon,63,Friends University,groupware,183
Mada,Digle,34,Jaipur National University,interactive,817
Samuele,Aronoff,97,Ecole Nationale Supérieure Agronomique de Toulouse,productivity,487
Orrin,Alexis,23,Military Institute of Science and Technology,attitude-oriented,143
Gaby,Benbrick,32,Fachhochschule Kiel,Enterprise-wide,91
Byrle,Novak,37,Fine Arts Academy Wladyslaw Strzeminski in Lodz,Organic,518
Gisele,Voak,3,Biysk State Padagogical University after V.M. Shukshin ,intermediate,42
Kin,Ferriday,53,Universidad Nacional del Littoral,adapter,87
Erica,Tomicki,56,Moore College of Art and Design,internet solution,895
Tan,Palluschek,71,Canterbury Christ Church University,high-level,706
Raphael,Joderli,9,Mawlana Bhashani Science And Technology University,time-frame,63
Bevan,Huie,94,University of Alexandra Dubček in Trenčín,hardware,715
Leroi,Rembaud,88,"Institute of Teachers Education, Penang",Profound,350
Luciana,Pembridge,63,Westminster College of Salt Lake City,internet solution,858
Kathleen,Folk,22,Universidad Adventista de Bolivia,grid-enabled,289
Erda,Ricciardi,10,College of Europe,4th generation,575
Maegan,Wathen,39,Barnard College - Columbia University,Compatible,696
Dar,Bennell,1,University of Kelaniya,24/7,538
Tarrance,Manuello,10,"Deutsch-Ordens Fachhochschule Riedlingen, Hochschule für Wirtschaft",zero defect,384
Keeley,Mapston,55,Japanese Red Cross College of Nursing,analyzer,520
Lindsey,Brabyn,95,National Chung Cheng University,alliance,307
Barnard,Paulou,69,Diaconia University of Applied Sciences,dedicated,244
Allan,O'Reilly,22,Seoul City University,alliance,82
Corabella,Beardsworth,42,St. Thomas Aquinas College,background,925
Jaclyn,Ryburn,7,University College of the Cariboo,Progressive,43
