"game_id","player_id","team_id","timeOnIce","assists","goals","pim","shots","saves","powerPlaySaves","shortHandedSaves","evenSaves","shortHandedShotsAgainst","evenShotsAgainst","powerPlayShotsAgainst","decision","savePercentage","powerPlaySavePercentage","evenStrengthSavePercentage"
"2012030221","8468685","3",4540,0,0,0,48,45,10,1,34,1,36,11,"L",93.75,90.9090909090909,94.4444444444444
"2012030221","8471695","6",4540,0,0,0,35,33,3,0,30,0,32,3,"W",94.2857142857143,100,93.75
"2012030222","8468685","3",3600,0,0,0,32,27,1,2,24,2,29,1,"L",84.375,100,82.7586206896552
"2012030222","8471695","6",3600,0,0,0,37,35,7,1,27,1,29,7,"W",94.5945945945946,100,93.1034482758621
"2012030223","8471695","6",3600,0,0,0,24,23,2,0,21,0,22,2,"W",95.8333333333333,100,95.4545454545455
"2012030223","8468685","3",3534,0,0,0,34,32,0,0,32,0,34,0,"L",94.1176470588235,NA,94.1176470588235
"2012030224","8471695","6",4019,0,0,0,32,28,5,1,22,1,25,6,"L",87.5,83.3333333333333,88
"2012030224","8468685","3",4023,0,0,0,40,37,6,0,31,0,32,8,"W",92.5,75,96.875
"2012030225","8468685","3",3547,0,0,0,31,29,2,2,25,2,26,3,"L",93.5483870967742,66.6666666666667,96.1538461538462
"2012030225","8471695","6",3600,0,0,0,29,28,1,2,25,2,25,2,"W",96.551724137931,50,100
"2012030311","8471695","6",3600,0,0,0,29,29,9,1,19,1,19,9,"W",100,100,100
"2012030311","8460712","5",3600,0,0,0,30,27,4,3,20,3,23,4,"L",90,100,86.9565217391304
"2012030312","8471695","6",3600,0,0,0,27,26,3,0,23,0,24,3,"W",96.2962962962963,100,95.8333333333333
"2012030312","8460712","5",991,0,0,0,12,9,3,0,6,0,9,3,"L",75,100,66.6666666666667
"2012030312","8470594","5",2604,0,0,0,17,14,0,0,14,0,17,0,"",82.3529411764706,NA,82.3529411764706
"2012030313","8460712","5",5719,0,0,0,40,38,4,1,33,1,35,4,"L",95,100,94.2857142857143
"2012030313","8471695","6",5719,0,0,0,54,53,13,3,37,3,38,13,"W",98.1481481481482,100,97.3684210526316
"2012030314","8460712","5",3504,0,0,0,24,23,2,0,21,0,22,2,"L",95.8333333333333,100,95.4545454545455
"2012030314","8471695","6",3600,0,0,0,26,26,2,0,24,0,24,2,"W",100,100,100
"2012030231","8470657","17",3549,0,0,0,41,38,4,1,33,1,35,5,"L",92.6829268292683,80,94.2857142857143
"2012030231","8470645","16",3600,0,0,0,21,20,4,1,15,1,16,4,"W",95.2380952380952,100,93.75
"2012030232","8470657","17",3600,0,0,0,20,19,2,0,17,0,18,2,"W",95,100,94.4444444444444
"2012030232","8470645","16",3600,0,0,0,30,26,6,1,19,1,23,6,"L",86.6666666666667,100,82.6086956521739
"2012030233","8470645","16",3526,0,0,0,30,27,6,0,21,0,24,6,"L",90,100,87.5
"2012030233","8470657","17",3600,0,0,0,40,39,8,2,29,2,30,8,"W",97.5,100,96.6666666666667
"2012030234","8470645","16",3515,0,0,0,26,25,6,1,18,1,18,7,"L",96.1538461538462,85.7142857142857,100
"2012030234","8470657","17",3587,0,0,0,28,28,1,2,25,2,25,1,"W",100,100,100
"2012030235","8470657","17",3600,0,0,0,45,41,4,3,34,3,36,6,"L",91.1111111111111,66.6666666666667,94.4444444444444
"2012030235","8470645","16",3592,0,0,0,26,25,6,0,19,0,20,6,"W",96.1538461538462,100,95
"2012030236","8470645","16",3598,0,0,0,38,35,5,0,30,0,33,5,"W",92.1052631578947,100,90.9090909090909
"2012030236","8470657","17",3515,0,0,0,28,24,5,1,18,1,21,6,"L",85.7142857142857,83.3333333333333,85.7142857142857
"2012030237","8470657","17",3815,0,0,0,35,33,3,1,29,1,31,3,"L",94.2857142857143,100,93.5483870967742
"2012030237","8470645","16",3815,0,0,0,27,26,4,0,22,0,23,4,"W",96.2962962962963,100,95.6521739130435
"2012030121","8467950","9",3600,0,0,0,50,48,11,4,33,4,34,12,"W",96,91.6666666666667,97.0588235294118
"2012030121","8471679","8",3545,0,0,0,31,27,2,1,24,1,28,2,"L",87.0967741935484,100,85.7142857142857
"2012030122","8467950","9",3541,0,0,0,34,31,5,3,23,3,26,5,"L",91.1764705882353,100,88.4615384615385
"2012030122","8471679","8",3600,0,0,0,30,29,7,0,22,0,23,7,"W",96.6666666666667,100,95.6521739130435
"2012030123","8471679","8",3600,0,0,0,30,24,7,1,16,1,19,10,"L",80,70,84.2105263157895
"2012030123","8467950","9",3593,0,0,0,34,33,6,1,26,1,26,7,"W",97.0588235294118,85.7142857142857,100
"2012030124","8471679","8",3600,0,0,0,32,30,1,0,29,0,31,1,"",93.75,100,93.5483870967742
"2012030124","8469514","8",152,0,0,0,2,1,0,0,1,0,2,0,"L",50,NA,50
"2012030124","8467950","9",3690,0,0,0,28,26,2,0,24,0,26,2,"W",92.8571428571429,100,92.3076923076923
"2012030125","8467950","9",3600,0,0,0,34,33,8,1,24,1,24,9,"W",97.0588235294118,88.8888888888889,100
"2012030125","8469514","8",3600,0,0,0,29,23,6,2,15,3,17,9,"L",79.3103448275862,66.6666666666667,88.2352941176471
"2012030151","8470216","30",4595,0,0,0,37,35,5,0,30,0,31,6,"L",94.5945945945946,83.3333333333333,96.7741935483871
"2012030151","8470645","16",4595,0,0,0,27,26,6,1,19,1,20,6,"W",96.2962962962963,100,95
"2012030152","8470216","30",3583,0,0,0,47,43,7,1,35,2,38,7,"L",91.4893617021277,100,92.1052631578947
"2012030152","8470645","16",3600,0,0,0,28,26,7,0,19,0,21,7,"W",92.8571428571429,100,90.4761904761905
"2012030153","8470645","16",3735,0,0,0,37,34,5,1,28,1,31,5,"L",91.8918918918919,100,90.3225806451613
"2012030153","8470216","30",3733,0,0,0,27,25,1,2,22,2,24,1,"W",92.5925925925926,100,91.6666666666667
"2012030154","8470645","16",3600,0,0,0,25,25,7,0,18,0,18,7,"W",100,100,100
"2012030154","8470216","30",1191,0,0,0,6,5,0,1,4,1,5,0,"L",83.3333333333333,NA,80
"2012030154","8475311","30",2393,0,0,0,18,16,1,1,14,1,16,1,"",88.8888888888889,100,87.5
"2012030155","8470216","30",1586,0,0,0,18,15,0,0,15,0,18,0,"L",83.3333333333333,NA,83.3333333333333
"2012030155","8475311","30",2014,0,0,0,15,13,1,0,12,0,13,2,"",86.6666666666667,50,92.3076923076923
"2012030155","8470645","16",3600,0,0,0,22,21,4,0,17,0,18,4,"W",95.4545454545455,100,94.4444444444444
"2012030181","8471734","26",4388,0,0,2,42,40,7,0,33,1,33,8,"L",95.2380952380952,87.5,100
"2012030181","8470880","19",4406,0,0,0,29,28,2,2,24,2,25,2,"W",96.551724137931,100,96
"2012030182","8471734","26",3556,0,0,0,25,23,1,1,21,1,23,1,"L",92,100,91.304347826087
"2012030182","8470880","19",3600,0,0,0,29,28,3,0,25,0,25,4,"W",96.551724137931,75,100
"2012030183","8470880","19",3547,0,0,0,21,20,2,1,17,1,18,2,"L",95.2380952380952,100,94.4444444444444
"2012030183","8471734","26",3600,0,0,0,30,30,5,3,22,3,22,5,"W",100,100,100
"2012030184","8470880","19",3541,0,0,0,29,25,4,0,21,0,25,4,"L",86.2068965517241,100,84
"2012030184","8471734","26",3600,0,0,0,22,19,2,0,17,0,19,3,"W",86.3636363636364,66.6666666666667,89.4736842105263
"2012030185","8471734","26",4080,0,0,0,36,34,4,0,30,0,32,4,"W",94.4444444444444,100,93.75
"2012030185","8470880","19",4059,0,0,0,25,22,0,0,22,0,24,1,"L",88,0,91.6666666666667
"2012030186","8470880","19",3556,0,0,0,16,14,0,0,14,0,16,0,"L",87.5,NA,87.5
"2012030186","8471734","26",3600,0,0,0,22,21,1,0,20,0,21,1,"W",95.4545454545455,100,95.2380952380952
"2012030161","8470657","17",3533,0,0,0,26,24,0,0,24,0,24,2,"L",92.3076923076923,0,100
"2012030161","8473972","24",3600,0,0,0,22,21,5,0,16,0,16,6,"W",95.4545454545455,83.3333333333333,100
"2012030162","8470657","17",3681,0,0,0,32,28,7,3,18,3,21,8,"W",87.5,87.5,85.7142857142857
"2012030162","8473972","24",3681,0,0,0,32,27,8,0,19,0,21,11,"L",84.375,72.7272727272727,90.4761904761905
"2012030163","8473972","24",3600,0,0,0,23,23,9,3,11,3,11,9,"W",100,100,100
"2012030163","8470657","17",3600,0,0,2,29,25,7,0,18,1,19,9,"L",86.2068965517241,77.7777777777778,94.7368421052632
"2012030164","8473972","24",4510,0,0,0,49,46,2,1,43,1,46,2,"L",93.8775510204082,100,93.4782608695652
"2012030164","8470657","17",4510,0,0,0,33,31,6,1,24,1,26,6,"W",93.9393939393939,100,92.3076923076923
"2012030165","8470657","17",3714,0,0,0,34,31,6,0,25,0,27,7,"L",91.1764705882353,85.7142857142857,92.5925925925926
"2012030165","8473972","24",3714,0,0,0,31,29,3,0,26,0,27,4,"W",93.5483870967742,75,96.2962962962963
"2012030166","8473972","24",3664,0,0,0,29,25,5,0,20,0,23,6,"L",86.2068965517241,83.3333333333333,86.9565217391304
"2012030166","8470657","17",3664,0,0,0,37,34,0,3,31,3,34,0,"W",91.8918918918919,NA,91.1764705882353
"2012030167","8470657","17",3600,0,0,0,33,31,6,1,24,1,25,7,"W",93.9393939393939,85.7142857142857,96
"2012030167","8473972","24",3551,1,0,0,32,29,0,0,29,1,31,0,"L",90.625,NA,93.5483870967742
"2012030111","8474690","2",2289,0,0,0,11,10,1,0,9,0,10,1,"",90.9090909090909,100,90
"2012030111","8460705","2",1311,0,0,0,15,11,5,0,6,0,8,7,"L",73.3333333333333,71.4285714285714,75
"2012030111","8470594","5",3590,0,0,0,26,26,6,1,19,1,19,6,"W",100,100,100
"2012030112","8460705","2",3600,0,0,0,33,30,9,0,21,0,23,10,"W",90.9090909090909,90,91.304347826087
"2012030112","8470594","5",3546,0,0,0,42,38,5,0,33,0,36,6,"L",90.4761904761905,83.3333333333333,91.6666666666667
"2012030113","8470594","5",4124,0,0,0,36,32,5,0,27,1,30,5,"W",88.8888888888889,100,90
"2012030113","8460705","2",4121,0,0,0,25,20,1,1,18,1,20,4,"L",80,25,90
"2012030114","8470594","5",3550,1,0,0,24,18,3,0,15,0,20,4,"L",75,75,75
"2012030114","8460705","2",3600,0,0,0,31,27,2,1,24,1,28,2,"W",87.0967741935484,100,85.7142857142857
"2012030115","8474690","2",857,0,0,0,4,4,4,0,0,0,0,4,"",100,100,NA
"2012030115","8460705","2",2743,0,0,0,27,23,2,0,21,0,24,3,"L",85.1851851851852,66.6666666666667,87.5
"2012030115","8460712","5",3586,0,0,0,31,31,4,0,27,0,27,4,"W",100,100,100
"2012030116","8460712","5",4069,0,0,0,38,35,6,1,28,1,31,6,"W",92.1052631578947,100,90.3225806451613
"2012030116","8460705","2",4069,0,0,0,21,17,0,0,17,0,21,0,"L",80.9523809523809,NA,80.9523809523809
"2012030131","8468685","3",3495,0,0,0,30,27,6,1,20,1,22,7,"L",90,85.7142857142857,90.9090909090909
"2012030131","8474651","15",3594,0,0,0,36,35,8,1,26,1,27,8,"W",97.2222222222222,100,96.2962962962963
"2012030132","8468685","3",4072,0,0,0,38,37,5,0,32,0,32,6,"L",97.3684210526316,83.3333333333333,100
"2012030132","8474651","15",4079,0,0,0,24,24,2,0,22,0,22,2,"W",100,100,100
"2012030133","8474651","15",3500,0,0,2,30,26,11,1,14,1,17,12,"L",86.6666666666667,91.6666666666667,82.3529411764706
"2012030133","8468685","3",3600,0,0,0,31,28,1,0,27,0,30,1,"W",90.3225806451613,100,90
"2012030134","8474651","15",3523,0,0,0,34,30,4,2,24,2,27,5,"L",88.2352941176471,80,88.8888888888889
